Period,Sender ID,Sender Decision Length,Receiver ID,Receiver Decision Length,Sent,Multiplier,Received,Invested,ReceiverKept,SenderGiven
1,1,3,17,3,3.04,4,12.16,4.25,1.48,6.43
1,2,1,21,1,3.34,4,13.36,11.68,0.88,0.8
1,3,1,13,3,0.50,4,2,1.94,0.05,0.01
1,4,2,22,3,3.50,4,14,10.09,1.33,2.58
1,5,2,20,3,4.84,4,19.36,6.45,11.65,1.26
1,10,2,12,2,2.09,4,8.36,2.95,0.93,4.48
1,11,1,18,3,0.83,4,3.32,2.76,0.46,0.1
1,14,1,8,2,1.19,4,4.76,4.5,0.12,0.14
1,15,3,6,2,3.72,4,14.88,4.81,7.73,2.34
1,19,1,16,1,2.72,4,10.88,8.05,1.26,1.57
1,23,2,9,2,4.34,4,17.36,9.4,5.9,2.06
1,24,1,7,1,2.47,4,9.88,7.92,0.82,1.14
2,1,2,17,1,4.85,3,27.3,5.01,16.48,5.81
2,2,3,21,2,2.56,3,42.72,32.7,2.58,7.44
2,3,3,13,3,0.04,3,5.94,5.8,0.13,0.01
2,4,4,22,1,2.95,3,39.12,34.26,0.83,4.03
2,5,1,20,2,3.05,3,28.5,1,14.82,12.68
2,10,3,12,2,3.22,3,18.51,5.56,1.98,10.97
2,11,1,18,2,3.88,3,19.92,16.64,0.16,3.12
2,14,3,8,3,3.15,3,22.95,4.46,16.78,1.71
2,15,1,6,2,2.97,3,23.34,9.39,10.21,3.74
2,19,2,16,3,4.77,3,38.46,28.54,7.98,1.94
2,23,3,9,1,1.45,3,32.55,6.67,1.95,23.93
2,24,1,7,2,3.63,3,34.65,32.48,1.36,0.81
3,1,1,17,1,4.41,1,9.42,8.13,1.16,0.13
3,2,2,21,1,1.90,1,34.6,6.43,16.26,11.91
3,3,1,13,3,1.41,1,7.21,1.93,2.19,3.09
3,4,5,22,2,2.90,1,37.16,34.95,0.86,1.35
3,5,3,20,1,4.90,1,5.9,3.63,0.08,2.19
3,10,2,12,2,4.89,1,10.45,0.78,7.53,2.14
3,11,1,18,1,2.88,1,19.52,18.8,0.71,0.01
3,14,5,8,2,1.90,1,6.36,1.85,3.07,1.44
3,15,3,6,4,4.90,1,14.29,12.67,0.26,1.36
3,19,4,16,2,3.87,1,32.41,3.03,0.73,28.65
